Slice,Distance,BandArea,BandMedian
283,6.0,114,170.5
283,8.0,71,172.0
284,2.0,424,101.0
284,4.0,326,124.0
284,6.0,149,158.0
285,2.0,211,112.0
285,4.0,179,140.0
285,6.0,139,165.0
285,8.0,69,167.0
286,2.0,216,120.0
286,4.0,184,151.5
286,6.0,153,162.0
286,8.0,63,161.0
287,2.0,269,107.0
287,4.0,212,138.5
287,6.0,157,153.0
287,8.0,92,150.0
288,2.0,271,83.0
288,4.0,226,108.0
288,6.0,163,129.0
288,8.0,118,124.5
289,2.0,273,82.0
289,4.0,252,103.5
289,6.0,139,129.0
289,8.0,83,155.0
290,2.0,245,92.0
290,4.0,237,116.0
290,6.0,137,134.0
290,8.0,104,152.5
290,10.0,57,149.0
291,2.0,310,90.0
291,4.0,291,113.0
291,6.0,161,129.0
291,8.0,105,153.0
292,2.0,585,94.0
292,4.0,500,115.0
292,6.0,256,136.5
292,8.0,123,163.0
